[image_filename]	[valence]	[arousal]	[prob. anger]	[prob. disgust]	[prob. fear]	[prob. joy]	[prob. sadness]	[prob. surprise]	[prob. neutral]
disgust/1.jpg	2.5	3.8	0.133333	0.7	0	0.0666667	0.1	0	0
surprise/1.jpg	6.3	5.7	0	0.0666667	0.166667	0.233333	0.133333	0.233333	0.166667
fear/1.jpg	2.8	4.8	0.1	0.1	0.533333	0	0.133333	0	0.133333
joy/1.jpg	8	4.5	0	0	0	0.666667	0	0.266667	0.0666667
sadness/1.jpg	2.7	5.2	0	0	0.1	0	0.9	0	0
disgust/2.jpg	1.1	4.3	0.0222222	0.377778	0.522222	0	0.0777778	0	0
anger/1.jpg	4.6	4.5	0.0333333	0.0333333	0.266667	0	0.2	0.133333	0.333333
anger/2.jpg	6.3	4.9	0	0.133333	0.133333	0.0888889	0.2	0.155556	0.288889
fear/2.jpg	4.6	3.8	0.0222222	0.0888889	0.0666667	0.0888889	0.0666667	0.2	0.466667
disgust/3.jpg	1.4	7.9	0.0988889	0.232222	0.498889	0	0.143333	0.0266667	0
sadness/2.jpg	3.5	4.2	0.0333333	0.0666667	0	0.0333333	0.766667	0	0.1
fear/3.jpg	3.9	3.9	0	0	0.433333	0	0.166667	0.0666667	0.333333
sadness/3.jpg	2.7	3.8	0	0.0666667	0	0.0333333	0.833333	0	0.0666667
surprise/2.jpg	6	4.9	0	0	0.122222	0.344444	0.0222222	0.344444	0.166667
joy/2.jpg	7.7	3.9	0	0	0	0.622222	0	0.188889	0.188889
surprise/3.jpg	8.3	7.2	0	0	0	0.366667	0.0222222	0.433333	0.177778
anger/3.jpg	3.6	5.4	0.522222	0.0333333	0.133333	0	0.0888889	0.0333333	0.188889
joy/3.jpg	8.1	5.8	0	0	0	0.544444	0.0888889	0.144444	0.222222
joy/4.jpg	7.2	5.1	0	0	0.0666667	0.566667	0	0.166667	0.2
surprise/4.jpg	4.7	5.4	0	0.0666667	0.1	0.0666667	0.0666667	0.233333	0.466667
disgust/4.jpg	2.6	5	0.0666667	0.366667	0.166667	0.0333333	0	0.1	0.266667
anger/4.jpg	6.1	5.7	0	0	0.3	0.133333	0	0.233333	0.333333
sadness/4.jpg	4.8	4.7	0	0	0.0666667	0	0.266667	0.0666667	0.6
disgust/5.jpg	2.9	4.2	0	0.333333	0.0666667	0	0.2	0	0.4
fear/4.jpg	5.1	4.7	0.0666667	0.0666667	0.0666667	0.2	0.0666667	0.0666667	0.466667
anger/5.jpg	7.4	5.6	0.0666667	0.0666667	0.0666667	0.266667	0.0666667	0.2	0.266667
fear/5.jpg	1.5	4.7	0.0666667	0.1	0.833333	0	0	0	0
surprise/5.jpg	8	3.4	0	0	0	0.566667	0	0.233333	0.2
joy/5.jpg	6.1	4.5	0.133333	0.1	0.0666667	0.266667	0	0.3	0.133333
anger/6.jpg	1.6	5.3	0.0333333	0.0666667	0.4	0	0.433333	0	0.0666667
sadness/5.jpg	6.1	3.5	0	0.0333333	0	0.233333	0.266667	0.133333	0.333333
disgust/6.jpg	2.2	4.8	0.0666667	0.433333	0.2	0.0666667	0.233333	0	0
fear/6.jpg	1.8	5.2	0	0.2	0.2	0	0.433333	0	0.166667
joy/6.jpg	6.7	4.1	0	0	0.1	0.4	0.0333333	0.266667	0.2
sadness/6.jpg	4.3	4.2	0	0	0.0333333	0.0666667	0.633333	0.0666667	0.2
